site,name
2016,Carmel Valley-Ford Road
2116,Bishop-White Mountain Research Center
2125,Redwood City
2143,Davis-UCD Campus
2208,Truckee-Fire Station
2224,Lee Vining-SMS
2271,Ukiah-County Library
2320,Gilroy-9th Street
2353,Yosemite Village-Visitor Center
2360,Lompoc-S H Street
2373,San Francisco-Arkansas Street
2410,Vallejo-304 Tuolumne Street
2420,Reseda
2460,Alpine-Victoria Drive
2485,Upland
2499,Crestline
2551,El Centro-9th Street
2596,Riverside-Rubidoux
2622,San Rafael
2628,Hollister-Fairview Road
2630,Gridley-Cowee Avenue
2731,Sacramento-Del Paso Manor
2744,Colusa-Sunrise Blvd
2752,Yreka-Foothill Drive
2829,Redding-Health Dept Roof
2831,Concord-2956-A Treat Blvd
2833,Modesto-14th Street
2849,Glendora-Laurel
2878,Indio-Jackson Street
2880,Simi Valley-Cochran Street
2899,Los Angeles-North Main Street
2915,Mammoth Lakes-Gateway HC
2943,Lake Elsinore-W Flint Street
2956,Roseville-N Sunrise Blvd
2958,Yuba City-Almond Street
2977,Elk Grove-Bruceville Road
2979,Nipomo-Guadalupe Road
2984,Thousand Oaks-Moorpark Road
2991,El Rio-Rio Mesa School #2
2996,Turlock-S Minaret Street
3002,Colfax-City Hall
3011,Sacramento-T Street
3020,Quincy-N Church Street
3022,Merced-S Coffee Avenue
3026,Clovis-N Villa Avenue
3126,Grass Valley-Litton Building
3128,Chester-222 1st Avenue
3129,Hanford-S Irwin Street
3132,Weaverville-Courthouse
3135,Calexico-Ethel Street
3144,San Andreas-Gold Strike Road
3145,Bakersfield-Golden State Highway
3146,Bakersfield-5558 California Avenue
3153,Goleta-Fairview
3154,Keeler-Cerro Gordo Road
3168,Banning Airport
3172,Ojai-Ojai Avenue
3187,Folsom-Natoma Street
3194,Corcoran-Patterson Avenue
3198,Camp Pendleton
3200,Santa Cruz AMS
3201,Mexicali-UABC
3203,Mexicali-Cobach
3209,Sloughhouse
3247,Oakland-9925 International Blvd
3249,Woodland-Gibson Road
3253,Merced-2334 M Street
3265,Mission Viejo-26081 Via Pera
3266,Big Bear City-501 W. Valley Blvd
3484,Sequoia and Kings Canyon Natl Park
3485,Fresno-Hamilton and Winery
3489,Salinas-High School
3490,Livermore-793 Rincon Avenue
3500,Victorville-14306 Park Avenue
3502,Santa Clarita
3505,Piru-3301 Pacific Avenue
3658,Lancaster-43301 Division Street
3661,San Jose-Jackson Street
3665,Santa Barbara-700 East Canon Perdido
3668,San Pablo-Rumrill Blvd
3674,Anaheim-Pampas Lane
3675,Brawley-220 Main Street
3678,Vacaville-Ulatis Drive
3679,South Long Beach
3696,Tracy-Airport
3702,Mira Loma Van Buren
3714,Willows-720 N Colusa Street
3726,King City-415 Pearl Street
3739,Otay Mesa-Donovan
3742,Oakland-West
3743,Compton-700 North Bullis Road
3759,Tranquility-32650 West Adams Avenue
3762,Arroyo Grande-2391 Willow Road
3763,Porterville-1839 Newcomb Street
3768,Huron-16875 4th Street
3769,Lebec-Beartrap Road
3771,Madera-28261 Avenue 14
3772,Manteca-530 Fishback Rd
3777,Winchester-33700 Borel Road
3781,Fresno-Garland
3783,Chico-East Avenue
3786,Paradise-Theater
3789,Auburn-11645 Atwood Road
3801,Portola-Gulling Street
3802,Tahoe City-221 Fairway Drive
3803,Oakland-Laney College
3804,Sebastopol-103 Morris Street
3810,San Jose-Knox Avenue
3811,San Lorenzo Valley Middle School AMS
3812,Atascadero-Lift Station #5
3816,Red Bluff-1834 Walnut Street
3818,Long Beach-Route 710 Near Road
3819,Ontario-Route 60 Near Road
3823,Sacramento-Bercut Drive
3826,Fresno-2482 Foundry Park Avenue
3829,El Cajon-Lexington Elementary School
3835,Ridgecrest-Ward
3839,CRESCENT CITY-CRESCENT ELK SCHOOL
3840,Pleasanton-Owens Ct
3841,Lincoln-2885 Moore Road
3844,North Hollywood
3846,San Diego - Sherman Elementary School
3848,Mojave-CA 58 Business
3849,SLO-Roberto
3850,Willits-Blosser Lane
3862,Stockton-University Park
3863,Visalia - W. Ashland Avenue
5422,Rio Vista-St Francis Way
